"Date_Time","Time","Sensor","Count"
2016-01-03 00:00:00,0,"Bourke Street Mall (North)",106
2016-01-03 00:00:00,0,"Melbourne Central",851
2016-01-03 01:00:00,1,"Bourke Street Mall (North)",62
2016-01-03 01:00:00,1,"Melbourne Central",434
2016-01-03 02:00:00,2,"Bourke Street Mall (North)",63
2016-01-03 02:00:00,2,"Melbourne Central",282
2016-01-03 03:00:00,3,"Bourke Street Mall (North)",46
2016-01-03 03:00:00,3,"Melbourne Central",225
2016-01-03 04:00:00,4,"Bourke Street Mall (North)",28
2016-01-03 04:00:00,4,"Melbourne Central",119
2016-01-03 05:00:00,5,"Bourke Street Mall (North)",8
2016-01-03 05:00:00,5,"Melbourne Central",70
2016-01-03 06:00:00,6,"Bourke Street Mall (North)",31
2016-01-03 06:00:00,6,"Melbourne Central",77
2016-01-03 07:00:00,7,"Bourke Street Mall (North)",48
2016-01-03 07:00:00,7,"Melbourne Central",165
2016-01-03 08:00:00,8,"Bourke Street Mall (North)",96
2016-01-03 08:00:00,8,"Melbourne Central",288
2016-01-03 09:00:00,9,"Bourke Street Mall (North)",372
2016-01-03 09:00:00,9,"Melbourne Central",404
2016-01-03 10:00:00,10,"Bourke Street Mall (North)",628
2016-01-03 10:00:00,10,"Melbourne Central",703
2016-01-03 11:00:00,11,"Bourke Street Mall (North)",1156
2016-01-03 11:00:00,11,"Melbourne Central",992
2016-01-03 12:00:00,12,"Bourke Street Mall (North)",1526
2016-01-03 12:00:00,12,"Melbourne Central",1521
2016-01-03 13:00:00,13,"Bourke Street Mall (North)",1540
2016-01-03 13:00:00,13,"Melbourne Central",1999
2016-01-03 14:00:00,14,"Bourke Street Mall (North)",1905
2016-01-03 14:00:00,14,"Melbourne Central",2207
2016-01-03 15:00:00,15,"Bourke Street Mall (North)",1806
2016-01-03 15:00:00,15,"Melbourne Central",2214
2016-01-03 16:00:00,16,"Bourke Street Mall (North)",1516
2016-01-03 16:00:00,16,"Melbourne Central",2004
2016-01-03 17:00:00,17,"Bourke Street Mall (North)",1264
2016-01-03 17:00:00,17,"Melbourne Central",2058
2016-01-03 18:00:00,18,"Bourke Street Mall (North)",965
2016-01-03 18:00:00,18,"Melbourne Central",1927
2016-01-03 19:00:00,19,"Bourke Street Mall (North)",547
2016-01-03 19:00:00,19,"Melbourne Central",1912
2016-01-03 20:00:00,20,"Bourke Street Mall (North)",201
2016-01-03 20:00:00,20,"Melbourne Central",1696
2016-01-03 21:00:00,21,"Bourke Street Mall (North)",259
2016-01-03 21:00:00,21,"Melbourne Central",1466
2016-01-03 22:00:00,22,"Bourke Street Mall (North)",157
2016-01-03 22:00:00,22,"Melbourne Central",1109
2016-01-03 23:00:00,23,"Bourke Street Mall (North)",102
2016-01-03 23:00:00,23,"Melbourne Central",623
2016-01-04 00:00:00,0,"Bourke Street Mall (North)",74
2016-01-04 00:00:00,0,"Melbourne Central",339
2016-01-04 01:00:00,1,"Bourke Street Mall (North)",30
2016-01-04 01:00:00,1,"Melbourne Central",161
2016-01-04 02:00:00,2,"Bourke Street Mall (North)",8
2016-01-04 02:00:00,2,"Melbourne Central",61
2016-01-04 03:00:00,3,"Bourke Street Mall (North)",10
2016-01-04 03:00:00,3,"Melbourne Central",35
2016-01-04 04:00:00,4,"Bourke Street Mall (North)",7
2016-01-04 04:00:00,4,"Melbourne Central",23
2016-01-04 05:00:00,5,"Bourke Street Mall (North)",23
2016-01-04 05:00:00,5,"Melbourne Central",60
2016-01-04 06:00:00,6,"Bourke Street Mall (North)",34
2016-01-04 06:00:00,6,"Melbourne Central",120
2016-01-04 07:00:00,7,"Bourke Street Mall (North)",163
2016-01-04 07:00:00,7,"Melbourne Central",339
2016-01-04 08:00:00,8,"Bourke Street Mall (North)",357
2016-01-04 08:00:00,8,"Melbourne Central",531
2016-01-04 09:00:00,9,"Bourke Street Mall (North)",514
2016-01-04 09:00:00,9,"Melbourne Central",690
2016-01-04 10:00:00,10,"Bourke Street Mall (North)",929
2016-01-04 10:00:00,10,"Melbourne Central",950
2016-01-04 11:00:00,11,"Bourke Street Mall (North)",1136
2016-01-04 11:00:00,11,"Melbourne Central",1289
2016-01-04 12:00:00,12,"Bourke Street Mall (North)",1915
2016-01-04 12:00:00,12,"Melbourne Central",2173
2016-01-04 13:00:00,13,"Bourke Street Mall (North)",2295
2016-01-04 13:00:00,13,"Melbourne Central",2597
2016-01-04 14:00:00,14,"Bourke Street Mall (North)",1989
2016-01-04 14:00:00,14,"Melbourne Central",2546
2016-01-04 15:00:00,15,"Bourke Street Mall (North)",1726
2016-01-04 15:00:00,15,"Melbourne Central",2284
2016-01-04 16:00:00,16,"Bourke Street Mall (North)",1479
2016-01-04 16:00:00,16,"Melbourne Central",2364
2016-01-04 17:00:00,17,"Bourke Street Mall (North)",1689
2016-01-04 17:00:00,17,"Melbourne Central",2321
2016-01-04 18:00:00,18,"Bourke Street Mall (North)",1237
2016-01-04 18:00:00,18,"Melbourne Central",2043
2016-01-04 19:00:00,19,"Bourke Street Mall (North)",725
2016-01-04 19:00:00,19,"Melbourne Central",1880
2016-01-04 20:00:00,20,"Bourke Street Mall (North)",430
2016-01-04 20:00:00,20,"Melbourne Central",1568
2016-01-04 21:00:00,21,"Bourke Street Mall (North)",298
2016-01-04 21:00:00,21,"Melbourne Central",1401
2016-01-04 22:00:00,22,"Bourke Street Mall (North)",191
2016-01-04 22:00:00,22,"Melbourne Central",1020
2016-01-04 23:00:00,23,"Bourke Street Mall (North)",80
2016-01-04 23:00:00,23,"Melbourne Central",672
2016-01-05 00:00:00,0,"Bourke Street Mall (North)",39
2016-01-05 00:00:00,0,"Melbourne Central",268
2016-01-05 01:00:00,1,"Bourke Street Mall (North)",33
2016-01-05 01:00:00,1,"Melbourne Central",113
2016-01-05 02:00:00,2,"Bourke Street Mall (North)",15
2016-01-05 02:00:00,2,"Melbourne Central",66
2016-01-05 03:00:00,3,"Bourke Street Mall (North)",9
2016-01-05 03:00:00,3,"Melbourne Central",32
2016-01-05 04:00:00,4,"Bourke Street Mall (North)",11
2016-01-05 04:00:00,4,"Melbourne Central",45
2016-01-05 05:00:00,5,"Bourke Street Mall (North)",24
2016-01-05 05:00:00,5,"Melbourne Central",55
2016-01-05 06:00:00,6,"Bourke Street Mall (North)",51
2016-01-05 06:00:00,6,"Melbourne Central",118
2016-01-05 07:00:00,7,"Bourke Street Mall (North)",137
2016-01-05 07:00:00,7,"Melbourne Central",336
2016-01-05 08:00:00,8,"Bourke Street Mall (North)",331
2016-01-05 08:00:00,8,"Melbourne Central",669
2016-01-05 09:00:00,9,"Bourke Street Mall (North)",536
2016-01-05 09:00:00,9,"Melbourne Central",668
2016-01-05 10:00:00,10,"Bourke Street Mall (North)",834
2016-01-05 10:00:00,10,"Melbourne Central",999
2016-01-05 11:00:00,11,"Bourke Street Mall (North)",1287
2016-01-05 11:00:00,11,"Melbourne Central",1278
2016-01-05 12:00:00,12,"Bourke Street Mall (North)",2190
2016-01-05 12:00:00,12,"Melbourne Central",2332
2016-01-05 13:00:00,13,"Bourke Street Mall (North)",2411
2016-01-05 13:00:00,13,"Melbourne Central",2520
2016-01-05 14:00:00,14,"Bourke Street Mall (North)",1753
2016-01-05 14:00:00,14,"Melbourne Central",2297
2016-01-05 15:00:00,15,"Bourke Street Mall (North)",1668
2016-01-05 15:00:00,15,"Melbourne Central",2237
2016-01-05 16:00:00,16,"Bourke Street Mall (North)",1633
2016-01-05 16:00:00,16,"Melbourne Central",2132
2016-01-05 17:00:00,17,"Bourke Street Mall (North)",1580
2016-01-05 17:00:00,17,"Melbourne Central",2436
2016-01-05 18:00:00,18,"Bourke Street Mall (North)",1365
2016-01-05 18:00:00,18,"Melbourne Central",2325
2016-01-05 19:00:00,19,"Bourke Street Mall (North)",724
2016-01-05 19:00:00,19,"Melbourne Central",2187
2016-01-05 20:00:00,20,"Bourke Street Mall (North)",323
2016-01-05 20:00:00,20,"Melbourne Central",1972
2016-01-05 21:00:00,21,"Bourke Street Mall (North)",194
2016-01-05 21:00:00,21,"Melbourne Central",1622
2016-01-05 22:00:00,22,"Bourke Street Mall (North)",217
2016-01-05 22:00:00,22,"Melbourne Central",1250
2016-01-05 23:00:00,23,"Bourke Street Mall (North)",110
2016-01-05 23:00:00,23,"Melbourne Central",708
2016-01-06 00:00:00,0,"Bourke Street Mall (North)",53
2016-01-06 00:00:00,0,"Melbourne Central",397
