scaler,lambdas,mean_R2,std_R2,mean_RMSE,std_RMSE
robust,"(np.float64(0.5), np.float64(0.0), np.float64(1.0), np.float64(-1.0), np.float64(1.0))",0.6684110980666684,0.08126249236353293,269381.7237706475,38965.688956268146
minmax,"(np.float64(0.5), np.float64(0.0), np.float64(1.0), np.float64(-1.0), np.float64(1.0))",0.6684110980666684,0.08126249236353296,269381.7237706475,38965.68895626815
zscore,"(np.float64(0.5), np.float64(0.0), np.float64(1.0), np.float64(-1.0), np.float64(1.0))",0.6684110980666683,0.08126249236353301,269381.7237706475,38965.68895626817
zscore,"(np.float64(0.5), np.float64(0.0), np.float64(1.0), np.float64(-0.5), np.float64(1.0))",0.6681292298342708,0.08112485963382814,269501.1786619844,38893.33886543266
minmax,"(np.float64(0.5), np.float64(0.0), np.float64(1.0), np.float64(-0.5), np.float64(1.0))",0.6681292298342707,0.08112485963382811,269501.1786619844,38893.338865432655
robust,"(np.float64(0.5), np.float64(0.0), np.float64(1.0), np.float64(-0.5), np.float64(1.0))",0.6681292298342706,0.08112485963382812,269501.17866198445,38893.33886543263
zscore,"(np.float64(0.5), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(1.0))",0.6677834179842197,0.08094710498913481,269648.0569258952,38801.77516854482
minmax,"(np.float64(0.5), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(1.0))",0.6677834179842194,0.0809471049891347,269648.05692589533,38801.77516854478
robust,"(np.float64(0.5), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(1.0))",0.6677834179842194,0.08094710498913475,269648.05692589533,38801.77516854481
zscore,"(np.float64(0.5), np.float64(0.0), np.float64(0.5), np.float64(-1.0), np.float64(1.0))",0.6668780538542217,0.08130216125646668,270023.88761691947,38952.25567398705
minmax,"(np.float64(0.5), np.float64(0.0), np.float64(0.5), np.float64(-1.0), np.float64(1.0))",0.6668780538542216,0.08130216125646667,270023.8876169195,38952.25567398704
robust,"(np.float64(0.5), np.float64(0.0), np.float64(0.5), np.float64(-1.0), np.float64(1.0))",0.6668780538542215,0.08130216125646657,270023.8876169196,38952.25567398699
