scaler,lambdas,mean_R2,std_R2,mean_RMSE,std_RMSE
minmax,"(np.float64(0.5), np.float64(0.0), np.float64(0.0), np.float64(-1.0), np.float64(1.0))",0.6667341878333136,0.0795371998038395,270157.2560695959,38304.02684742206
zscore,"(np.float64(0.5), np.float64(0.0), np.float64(0.0), np.float64(-1.0), np.float64(1.0))",0.6667341878333136,0.07953719980383961,270157.2560695959,38304.02684742209
robust,"(np.float64(0.5), np.float64(0.0), np.float64(0.0), np.float64(-1.0), np.float64(1.0))",0.6667341878333136,0.07953719980383941,270157.25606959587,38304.026847422014
robust,"(np.float64(0.5), np.float64(0.0), np.float64(0.5), np.float64(-0.5), np.float64(1.0))",0.6666038298556748,0.08114147393383357,270140.9560548673,38871.405329234745
minmax,"(np.float64(0.5), np.float64(0.0), np.float64(0.5), np.float64(-0.5), np.float64(1.0))",0.6666038298556748,0.08114147393383378,270140.9560548673,38871.405329234825
zscore,"(np.float64(0.5), np.float64(0.0), np.float64(0.5), np.float64(-0.5), np.float64(1.0))",0.6666038298556746,0.08114147393383367,270140.9560548674,38871.405329234774
minmax,"(np.float64(0.5), np.float64(0.0), np.float64(0.0), np.float64(-0.5), np.float64(1.0))",0.6664725961810697,0.07936556379639038,270269.5880272594,38219.49475677731
robust,"(np.float64(0.5), np.float64(0.0), np.float64(0.0), np.float64(-0.5), np.float64(1.0))",0.6664725961810696,0.07936556379639037,270269.5880272595,38219.49475677733
zscore,"(np.float64(0.5), np.float64(0.0), np.float64(0.0), np.float64(-0.5), np.float64(1.0))",0.6664725961810694,0.07936556379639097,270269.5880272595,38219.49475677753
minmax,"(np.float64(0.5), np.float64(0.0), np.float64(0.5), np.float64(0.0), np.float64(1.0))",0.6662687939732758,0.08093985573481885,270284.1599921459,38771.23614309253
robust,"(np.float64(0.5), np.float64(0.0), np.float64(0.5), np.float64(0.0), np.float64(1.0))",0.6662687939732757,0.08093985573481888,270284.1599921459,38771.23614309255
zscore,"(np.float64(0.5), np.float64(0.0), np.float64(0.5), np.float64(0.0), np.float64(1.0))",0.6662687939732757,0.08093985573481881,270284.1599921459,38771.23614309252
minmax,"(np.float64(0.5), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(1.0))",0.6661530682819233,0.07915134968982772,270406.9569889619,38115.27093755647
zscore,"(np.float64(0.5), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(1.0))",0.6661530682819232,0.07915134968982783,270406.9569889619,38115.27093755649
robust,"(np.float64(0.5), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(1.0))",0.6661530682819231,0.07915134968982776,270406.95698896196,38115.27093755645
robust,"(np.float64(1.0), np.float64(0.0), np.float64(1.0), np.float64(-1.0), np.float64(1.0))",0.6603054334153935,0.08605748737063273,272588.72148584196,40689.754365322784
zscore,"(np.float64(1.0), np.float64(0.0), np.float64(1.0), np.float64(-1.0), np.float64(1.0))",0.6603054334153933,0.08605748737063285,272588.7214858421,40689.75436532281
minmax,"(np.float64(1.0), np.float64(0.0), np.float64(1.0), np.float64(-1.0), np.float64(1.0))",0.6603054334153933,0.08605748737063287,272588.721485842,40689.754365322835
zscore,"(np.float64(1.0), np.float64(0.0), np.float64(1.0), np.float64(-0.5), np.float64(1.0))",0.6602031972318411,0.0858963540558946,272635.25685138395,40614.35572322514
minmax,"(np.float64(1.0), np.float64(0.0), np.float64(1.0), np.float64(-0.5), np.float64(1.0))",0.6602031972318406,0.08589635405589514,272635.256851384,40614.35572322532
robust,"(np.float64(1.0), np.float64(0.0), np.float64(1.0), np.float64(-0.5), np.float64(1.0))",0.6602031972318405,0.08589635405589514,272635.2568513841,40614.355723225315
zscore,"(np.float64(1.0), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(1.0))",0.660032008804913,0.08569118651998309,272711.35005606286,40517.720761051954
minmax,"(np.float64(1.0), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(1.0))",0.6600320088049129,0.08569118651998345,272711.3500560629,40517.72076105208
robust,"(np.float64(1.0), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(1.0))",0.6600320088049122,0.08569118651998406,272711.35005606315,40517.7207610523
minmax,"(np.float64(1.0), np.float64(0.0), np.float64(0.5), np.float64(-1.0), np.float64(1.0))",0.6585233104913403,0.08650532283381282,273308.3451037938,40835.101555866524
zscore,"(np.float64(1.0), np.float64(0.0), np.float64(0.5), np.float64(-1.0), np.float64(1.0))",0.65852331049134,0.08650532283381288,273308.34510379384,40835.101555866524
robust,"(np.float64(1.0), np.float64(0.0), np.float64(0.5), np.float64(-1.0), np.float64(1.0))",0.6585233104913398,0.08650532283381279,273308.34510379395,40835.10155586649
minmax,"(np.float64(1.0), np.float64(0.0), np.float64(0.5), np.float64(-0.5), np.float64(1.0))",0.6584306886817134,0.08631957081660123,273351.97702322266,40750.64108313618
zscore,"(np.float64(1.0), np.float64(0.0), np.float64(0.5), np.float64(-0.5), np.float64(1.0))",0.6584306886817134,0.08631957081660138,273351.97702322266,40750.64108313619
robust,"(np.float64(1.0), np.float64(0.0), np.float64(0.5), np.float64(-0.5), np.float64(1.0))",0.6584306886817132,0.0863195708166016,273351.9770232227,40750.64108313631
minmax,"(np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(-1.0), np.float64(1.0))",0.6582962026178332,0.08546644919605216,273446.47884775494,40493.651393026055
zscore,"(np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(-1.0), np.float64(1.0))",0.6582962026178328,0.08546644919605222,273446.4788477551,40493.65139302604
robust,"(np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(-1.0), np.float64(1.0))",0.6582962026178328,0.08546644919605226,273446.4788477551,40493.65139302607
robust,"(np.float64(1.0), np.float64(0.0), np.float64(0.5), np.float64(0.0), np.float64(1.0))",0.6582731024408307,0.08608935660606414,273423.5289597192,40645.026060446355
minmax,"(np.float64(1.0), np.float64(0.0), np.float64(0.5), np.float64(0.0), np.float64(1.0))",0.6582731024408307,0.08608935660606426,273423.5289597191,40645.02606044637
zscore,"(np.float64(1.0), np.float64(0.0), np.float64(0.5), np.float64(0.0), np.float64(1.0))",0.6582731024408306,0.08608935660606426,273423.5289597192,40645.026060446384
minmax,"(np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(-0.5), np.float64(1.0))",0.6582276794367564,0.08526390331541989,273481.0988157103,40403.78633374585
zscore,"(np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(-0.5), np.float64(1.0))",0.6582276794367562,0.08526390331541998,273481.09881571034,40403.78633374587
robust,"(np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(-0.5), np.float64(1.0))",0.6582276794367562,0.08526390331542003,273481.09881571034,40403.7863337459
minmax,"(np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(1.0))",0.658096399465899,0.0850162711591275,273542.8033921137,40292.76737297746
zscore,"(np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(1.0))",0.658096399465899,0.08501627115912752,273542.8033921137,40292.76737297748
robust,"(np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(1.0))",0.6580963994658989,0.08501627115912759,273542.8033921137,40292.76737297752
robust,"(np.float64(1.0), np.float64(0.5), np.float64(1.0), np.float64(-1.0), np.float64(1.0))",0.6576412910209144,0.08882592030515193,273456.85892203887,41335.48050094477
zscore,"(np.float64(1.0), np.float64(0.5), np.float64(1.0), np.float64(-1.0), np.float64(1.0))",0.6576412910209143,0.0888259203051519,273456.8589220389,41335.480500944745
minmax,"(np.float64(1.0), np.float64(0.5), np.float64(1.0), np.float64(-1.0), np.float64(1.0))",0.6576412910209143,0.08882592030515182,273456.8589220389,41335.48050094472
zscore,"(np.float64(1.0), np.float64(0.5), np.float64(1.0), np.float64(-0.5), np.float64(1.0))",0.6575726831466632,0.0886456311009073,273487.77367458056,41258.098494363345
minmax,"(np.float64(1.0), np.float64(0.5), np.float64(1.0), np.float64(-0.5), np.float64(1.0))",0.657572683146663,0.08864563110090747,273487.77367458056,41258.0984943634
robust,"(np.float64(1.0), np.float64(0.5), np.float64(1.0), np.float64(-0.5), np.float64(1.0))",0.6575726831466627,0.08864563110090752,273487.7736745807,41258.0984943634
minmax,"(np.float64(1.0), np.float64(0.5), np.float64(1.0), np.float64(0.0), np.float64(1.0))",0.6574573519813572,0.08844450679244334,273537.66815870785,41169.82847217712
zscore,"(np.float64(1.0), np.float64(0.5), np.float64(1.0), np.float64(0.0), np.float64(1.0))",0.6574573519813572,0.08844450679244335,273537.6681587079,41169.82847217711
robust,"(np.float64(1.0), np.float64(0.5), np.float64(1.0), np.float64(0.0), np.float64(1.0))",0.657457351981357,0.08844450679244345,273537.66815870797,41169.82847217717
zscore,"(np.float64(0.5), np.float64(0.5), np.float64(1.0), np.float64(-1.0), np.float64(1.0))",0.6564615694314542,0.08703586539796988,273965.181990865,40548.27407741597
robust,"(np.float64(0.5), np.float64(0.5), np.float64(1.0), np.float64(-1.0), np.float64(1.0))",0.6564615694314541,0.08703586539796974,273965.1819908651,40548.2740774159
minmax,"(np.float64(0.5), np.float64(0.5), np.float64(1.0), np.float64(-1.0), np.float64(1.0))",0.6564615694314541,0.08703586539796977,273965.181990865,40548.27407741592
minmax,"(np.float64(0.5), np.float64(0.5), np.float64(1.0), np.float64(-0.5), np.float64(1.0))",0.6563231926960156,0.08686721889933642,274023.05940985377,40472.29157910323
robust,"(np.float64(0.5), np.float64(0.5), np.float64(1.0), np.float64(-0.5), np.float64(1.0))",0.6563231926960154,0.0868672188993364,274023.0594098539,40472.291579103236
zscore,"(np.float64(0.5), np.float64(0.5), np.float64(1.0), np.float64(-0.5), np.float64(1.0))",0.6563231926960152,0.08686721889933646,274023.0594098539,40472.291579103236
zscore,"(np.float64(0.5), np.float64(0.5), np.float64(1.0), np.float64(0.0), np.float64(1.0))",0.656124996779878,0.08668408256886868,274104.752092835,40387.29290323053
robust,"(np.float64(0.5), np.float64(0.5), np.float64(1.0), np.float64(0.0), np.float64(1.0))",0.656124996779878,0.08668408256886852,274104.75209283497,40387.29290323046
minmax,"(np.float64(0.5), np.float64(0.5), np.float64(1.0), np.float64(0.0), np.float64(1.0))",0.656124996779878,0.08668408256886849,274104.75209283497,40387.292903230475
robust,"(np.float64(1.0), np.float64(0.5), np.float64(0.5), np.float64(-1.0), np.float64(1.0))",0.6532003321444825,0.08962838480932965,275260.74184937123,41496.905023924235
minmax,"(np.float64(1.0), np.float64(0.5), np.float64(0.5), np.float64(-1.0), np.float64(1.0))",0.6532003321444823,0.08962838480933007,275260.7418493714,41496.905023924395
zscore,"(np.float64(1.0), np.float64(0.5), np.float64(0.5), np.float64(-1.0), np.float64(1.0))",0.6532003321444823,0.08962838480933003,275260.7418493713,41496.90502392437
zscore,"(np.float64(1.0), np.float64(0.5), np.float64(0.5), np.float64(-0.5), np.float64(1.0))",0.6531685963282974,0.08942341565982023,275277.7893016254,41411.613418547546
minmax,"(np.float64(1.0), np.float64(0.5), np.float64(0.5), np.float64(-0.5), np.float64(1.0))",0.6531685963282973,0.08942341565982036,275277.78930162545,41411.613418547604
robust,"(np.float64(1.0), np.float64(0.5), np.float64(0.5), np.float64(-0.5), np.float64(1.0))",0.6531685963282972,0.0894234156598205,275277.78930162545,41411.61341854765
robust,"(np.float64(1.0), np.float64(0.5), np.float64(0.5), np.float64(0.0), np.float64(1.0))",0.6530966854905462,0.08919595026573066,275311.18049133144,41315.04442364292
minmax,"(np.float64(1.0), np.float64(0.5), np.float64(0.5), np.float64(0.0), np.float64(1.0))",0.6530966854905461,0.08919595026573056,275311.18049133144,41315.04442364286
zscore,"(np.float64(1.0), np.float64(0.5), np.float64(0.5), np.float64(0.0), np.float64(1.0))",0.6530966854905461,0.08919595026573048,275311.18049133144,41315.044423642845
zscore,"(np.float64(0.5), np.float64(0.5), np.float64(0.5), np.float64(-1.0), np.float64(1.0))",0.651385047325532,0.08768268820512035,276031.74386167363,40625.8015364135
robust,"(np.float64(0.5), np.float64(0.5), np.float64(0.5), np.float64(-1.0), np.float64(1.0))",0.6513850473255319,0.08768268820512026,276031.74386167363,40625.80153641348
minmax,"(np.float64(0.5), np.float64(0.5), np.float64(0.5), np.float64(-1.0), np.float64(1.0))",0.6513850473255317,0.08768268820512028,276031.7438616737,40625.801536413506
minmax,"(np.float64(1.0), np.float64(0.5), np.float64(0.0), np.float64(-0.5), np.float64(1.0))",0.6513080126018614,0.0874532765225014,276130.81506336905,40623.94526133492
robust,"(np.float64(1.0), np.float64(0.5), np.float64(0.0), np.float64(-0.5), np.float64(1.0))",0.6513080126018613,0.08745327652250136,276130.8150633691,40623.94526133492
zscore,"(np.float64(1.0), np.float64(0.5), np.float64(0.0), np.float64(-0.5), np.float64(1.0))",0.6513080126018612,0.08745327652250158,276130.81506336917,40623.94526133498
minmax,"(np.float64(1.0), np.float64(0.5), np.float64(0.0), np.float64(0.0), np.float64(1.0))",0.6512947589568305,0.08719188784052481,276142.1989835273,40516.42923589093
robust,"(np.float64(1.0), np.float64(0.5), np.float64(0.0), np.float64(0.0), np.float64(1.0))",0.6512947589568303,0.08719188784052533,276142.19898352737,40516.42923589108
zscore,"(np.float64(1.0), np.float64(0.5), np.float64(0.0), np.float64(0.0), np.float64(1.0))",0.6512947589568303,0.08719188784052531,276142.1989835273,40516.4292358911
minmax,"(np.float64(1.0), np.float64(0.5), np.float64(0.0), np.float64(-1.0), np.float64(1.0))",0.6512918345151952,0.08769024053493514,276131.60680876503,40719.881533111125
robust,"(np.float64(1.0), np.float64(0.5), np.float64(0.0), np.float64(-1.0), np.float64(1.0))",0.6512918345151949,0.087690240534935,276131.60680876515,40719.88153311107
zscore,"(np.float64(1.0), np.float64(0.5), np.float64(0.0), np.float64(-1.0), np.float64(1.0))",0.6512918345151948,0.08769024053493511,276131.60680876515,40719.88153311112
minmax,"(np.float64(0.5), np.float64(0.5), np.float64(0.5), np.float64(-0.5), np.float64(1.0))",0.6512852509524669,0.08748217401766235,276075.1304518287,40539.273672258474
robust,"(np.float64(0.5), np.float64(0.5), np.float64(0.5), np.float64(-0.5), np.float64(1.0))",0.6512852509524669,0.08748217401766226,276075.1304518287,40539.27367225845
zscore,"(np.float64(0.5), np.float64(0.5), np.float64(0.5), np.float64(-0.5), np.float64(1.0))",0.6512852509524668,0.08748217401766265,276075.1304518287,40539.27367225856
minmax,"(np.float64(0.5), np.float64(0.5), np.float64(0.5), np.float64(0.0), np.float64(1.0))",0.6511312466288511,0.0872649278605604,276140.0466354745,40443.070307083384
robust,"(np.float64(0.5), np.float64(0.5), np.float64(0.5), np.float64(0.0), np.float64(1.0))",0.6511312466288511,0.08726492786056053,276140.0466354745,40443.07030708345
zscore,"(np.float64(0.5), np.float64(0.5), np.float64(0.5), np.float64(0.0), np.float64(1.0))",0.651131246628851,0.08726492786056086,276140.0466354745,40443.07030708356
zscore,"(np.float64(0.5), np.float64(0.5), np.float64(0.0), np.float64(-1.0), np.float64(1.0))",0.6486500661531592,0.0853189240042226,277247.20692046755,39644.73065136067
minmax,"(np.float64(0.5), np.float64(0.5), np.float64(0.0), np.float64(-1.0), np.float64(1.0))",0.6486500661531592,0.08531892400422242,277247.2069204675,39644.730651360594
robust,"(np.float64(0.5), np.float64(0.5), np.float64(0.0), np.float64(-1.0), np.float64(1.0))",0.6486500661531592,0.08531892400422253,277247.2069204675,39644.73065136064
zscore,"(np.float64(0.5), np.float64(0.5), np.float64(0.0), np.float64(-0.5), np.float64(1.0))",0.6485958826716016,0.08508214650089589,277273.70946596004,39545.73483974496
minmax,"(np.float64(0.5), np.float64(0.5), np.float64(0.0), np.float64(-0.5), np.float64(1.0))",0.6485958826716016,0.08508214650089573,277273.70946596004,39545.734839744866
robust,"(np.float64(0.5), np.float64(0.5), np.float64(0.0), np.float64(-0.5), np.float64(1.0))",0.6485958826716015,0.08508214650089586,277273.7094659601,39545.73483974494
robust,"(np.float64(0.5), np.float64(0.5), np.float64(0.0), np.float64(0.0), np.float64(1.0))",0.6484992448868004,0.08482631514433596,277317.18139264913,39436.63060590906
minmax,"(np.float64(0.5), np.float64(0.5), np.float64(0.0), np.float64(0.0), np.float64(1.0))",0.6484992448868004,0.0848263151443357,277317.18139264913,39436.63060590894
zscore,"(np.float64(0.5), np.float64(0.5), np.float64(0.0), np.float64(0.0), np.float64(1.0))",0.6484992448868003,0.08482631514433607,277317.18139264913,39436.63060590911
minmax,"(np.float64(0.5), np.float64(0.0), np.float64(1.0), np.float64(-1.0), np.float64(0.5))",0.6465199314605224,0.07788752333085086,278411.13300567266,36875.553196213565
zscore,"(np.float64(0.5), np.float64(0.0), np.float64(1.0), np.float64(-1.0), np.float64(0.5))",0.6465199314605224,0.07788752333085083,278411.13300567266,36875.55319621355
robust,"(np.float64(0.5), np.float64(0.0), np.float64(1.0), np.float64(-1.0), np.float64(0.5))",0.6465199314605224,0.07788752333085092,278411.13300567266,36875.55319621359
zscore,"(np.float64(0.5), np.float64(0.0), np.float64(1.0), np.float64(-0.5), np.float64(0.5))",0.6461015510779046,0.07779004521541272,278579.5022357894,36817.41065040894
minmax,"(np.float64(0.5), np.float64(0.0), np.float64(1.0), np.float64(-0.5), np.float64(0.5))",0.6461015510779045,0.07779004521541295,278579.5022357894,36817.41065040901
robust,"(np.float64(0.5), np.float64(0.0), np.float64(1.0), np.float64(-0.5), np.float64(0.5))",0.6461015510779045,0.07779004521541287,278579.5022357894,36817.41065040901
minmax,"(np.float64(0.5), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.5))",0.6456001240728915,0.0776575338262445,278781.61441649206,36741.93942838615
robust,"(np.float64(0.5), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.5))",0.6456001240728915,0.07765753382624463,278781.6144164921,36741.93942838622
zscore,"(np.float64(0.5), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.5))",0.6456001240728915,0.0776575338262446,278781.6144164921,36741.939428386206
minmax,"(np.float64(0.5), np.float64(0.0), np.float64(0.5), np.float64(-1.0), np.float64(0.5))",0.6445755669777116,0.07851170984432777,279177.3355682124,37078.55362532017
robust,"(np.float64(0.5), np.float64(0.0), np.float64(0.5), np.float64(-1.0), np.float64(0.5))",0.6445755669777115,0.07851170984432755,279177.33556821244,37078.553625320106
zscore,"(np.float64(0.5), np.float64(0.0), np.float64(0.5), np.float64(-1.0), np.float64(0.5))",0.6445755669777112,0.07851170984432798,279177.3355682125,37078.553625320244
minmax,"(np.float64(0.5), np.float64(0.0), np.float64(0.5), np.float64(-0.5), np.float64(0.5))",0.6441698309836953,0.07838644796193915,279341.25242232345,37010.59498604791
robust,"(np.float64(0.5), np.float64(0.0), np.float64(0.5), np.float64(-0.5), np.float64(0.5))",0.6441698309836952,0.07838644796193933,279341.2524223234,37010.59498604798
zscore,"(np.float64(0.5), np.float64(0.0), np.float64(0.5), np.float64(-0.5), np.float64(0.5))",0.644169830983695,0.0783864479619394,279341.2524223235,37010.594986048
zscore,"(np.float64(0.5), np.float64(0.0), np.float64(0.5), np.float64(0.0), np.float64(0.5))",0.6436844674627562,0.07822596807931055,279537.5187866129,36925.505279683246
robust,"(np.float64(0.5), np.float64(0.0), np.float64(0.5), np.float64(0.0), np.float64(0.5))",0.6436844674627562,0.07822596807931025,279537.5187866129,36925.50527968314
minmax,"(np.float64(0.5), np.float64(0.0), np.float64(0.5), np.float64(0.0), np.float64(0.5))",0.6436844674627561,0.07822596807931055,279537.5187866129,36925.50527968326
zscore,"(np.float64(0.5), np.float64(0.0), np.float64(0.0), np.float64(-1.0), np.float64(0.5))",0.6428685747250688,0.07794247066094002,279887.15380863205,36853.92106084018
minmax,"(np.float64(0.5), np.float64(0.0), np.float64(0.0), np.float64(-1.0), np.float64(0.5))",0.6428685747250688,0.07794247066094008,279887.1538086321,36853.92106084025
robust,"(np.float64(0.5), np.float64(0.0), np.float64(0.0), np.float64(-1.0), np.float64(0.5))",0.6428685747250685,0.07794247066094019,279887.1538086321,36853.92106084028
zscore,"(np.float64(0.5), np.float64(0.0), np.float64(0.0), np.float64(-0.5), np.float64(0.5))",0.6424842918646575,0.07780077412498312,280042.8504907594,36781.16052426572
robust,"(np.float64(0.5), np.float64(0.0), np.float64(0.0), np.float64(-0.5), np.float64(0.5))",0.6424842918646574,0.07780077412498305,280042.8504907595,36781.16052426572
minmax,"(np.float64(0.5), np.float64(0.0), np.float64(0.0), np.float64(-0.5), np.float64(0.5))",0.6424842918646573,0.07780077412498315,280042.8504907595,36781.16052426576
minmax,"(np.float64(0.5), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.5))",0.6420234132764309,0.07762284728042976,280229.71074542496,36691.235258321176
robust,"(np.float64(0.5), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.5))",0.6420234132764308,0.07762284728042972,280229.710745425,36691.23525832118
zscore,"(np.float64(0.5), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.5))",0.6420234132764308,0.07762284728042965,280229.710745425,36691.23525832113
robust,"(np.float64(1.0), np.float64(0.5), np.float64(1.0), np.float64(-1.0), np.float64(0.5))",0.6398032289225591,0.08427369144995636,280782.59667612053,38856.28458211408
zscore,"(np.float64(1.0), np.float64(0.5), np.float64(1.0), np.float64(-1.0), np.float64(0.5))",0.6398032289225591,0.08427369144995622,280782.5966761205,38856.284582114014
minmax,"(np.float64(1.0), np.float64(0.5), np.float64(1.0), np.float64(-1.0), np.float64(0.5))",0.6398032289225591,0.0842736914499562,280782.59667612053,38856.284582114
zscore,"(np.float64(1.0), np.float64(0.5), np.float64(1.0), np.float64(-0.5), np.float64(0.5))",0.6396188545832739,0.0841236724085807,280856.49524999486,38785.487164774975
minmax,"(np.float64(1.0), np.float64(0.5), np.float64(1.0), np.float64(-0.5), np.float64(0.5))",0.6396188545832739,0.08412367240858089,280856.49524999486,38785.48716477504
robust,"(np.float64(1.0), np.float64(0.5), np.float64(1.0), np.float64(-0.5), np.float64(0.5))",0.6396188545832738,0.08412367240858099,280856.4952499949,38785.48716477507
robust,"(np.float64(1.0), np.float64(0.5), np.float64(1.0), np.float64(0.0), np.float64(0.5))",0.639372292265903,0.08397227423502085,280954.27089010685,38710.69463764029
minmax,"(np.float64(1.0), np.float64(0.5), np.float64(1.0), np.float64(0.0), np.float64(0.5))",0.6393722922659029,0.08397227423502063,280954.27089010685,38710.69463764021
zscore,"(np.float64(1.0), np.float64(0.5), np.float64(1.0), np.float64(0.0), np.float64(0.5))",0.6393722922659025,0.0839722742350214,280954.2708901069,38710.69463764051
robust,"(np.float64(0.5), np.float64(0.5), np.float64(1.0), np.float64(-1.0), np.float64(0.5))",0.6392715049999681,0.0826666737791997,280999.2160067135,38147.6754483122
zscore,"(np.float64(0.5), np.float64(0.5), np.float64(1.0), np.float64(-1.0), np.float64(0.5))",0.639271504999968,0.08266667377919955,280999.2160067135,38147.67544831213
minmax,"(np.float64(0.5), np.float64(0.5), np.float64(1.0), np.float64(-1.0), np.float64(0.5))",0.6392715049999679,0.0826666737791996,280999.21600671357,38147.67544831216
minmax,"(np.float64(0.5), np.float64(0.5), np.float64(1.0), np.float64(-0.5), np.float64(0.5))",0.6389901507491238,0.08253004090127794,281109.9767668366,38076.767773473046
zscore,"(np.float64(0.5), np.float64(0.5), np.float64(1.0), np.float64(-0.5), np.float64(0.5))",0.6389901507491238,0.08253004090127804,281109.97676683665,38076.76777347309
robust,"(np.float64(0.5), np.float64(0.5), np.float64(1.0), np.float64(-0.5), np.float64(0.5))",0.6389901507491237,0.08253004090127793,281109.97676683665,38076.767773473024
minmax,"(np.float64(0.5), np.float64(0.5), np.float64(1.0), np.float64(0.0), np.float64(0.5))",0.6386381539203195,0.08239983690130989,281247.5103635683,38004.344990956095
robust,"(np.float64(0.5), np.float64(0.5), np.float64(1.0), np.float64(0.0), np.float64(0.5))",0.6386381539203195,0.08239983690130981,281247.51036356826,38004.34499095603
zscore,"(np.float64(0.5), np.float64(0.5), np.float64(1.0), np.float64(0.0), np.float64(0.5))",0.6386381539203193,0.08239983690131014,281247.5103635683,38004.34499095619
robust,"(np.float64(1.0), np.float64(0.0), np.float64(1.0), np.float64(-1.0), np.float64(0.5))",0.6376878497498765,0.08278493069493681,281816.2453205948,38617.71415266266
minmax,"(np.float64(1.0), np.float64(0.0), np.float64(1.0), np.float64(-1.0), np.float64(0.5))",0.6376878497498764,0.08278493069493699,281816.2453205948,38617.71415266273
zscore,"(np.float64(1.0), np.float64(0.0), np.float64(1.0), np.float64(-1.0), np.float64(0.5))",0.6376878497498762,0.08278493069493706,281816.24532059487,38617.71415266277
minmax,"(np.float64(1.0), np.float64(0.0), np.float64(1.0), np.float64(-0.5), np.float64(0.5))",0.6374799526791605,0.08269051735019119,281900.292771157,38568.21169893534
zscore,"(np.float64(1.0), np.float64(0.0), np.float64(1.0), np.float64(-0.5), np.float64(0.5))",0.6374799526791605,0.08269051735019095,281900.29277115694,38568.21169893526
robust,"(np.float64(1.0), np.float64(0.0), np.float64(1.0), np.float64(-0.5), np.float64(0.5))",0.63747995267916,0.08269051735019177,281900.2927711571,38568.21169893554
robust,"(np.float64(1.0), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.5))",0.6371743301696942,0.08255607527478191,282023.88980107504,38498.755866056425
zscore,"(np.float64(1.0), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.5))",0.6371743301696942,0.08255607527478183,282023.88980107504,38498.75586605641
